"rsp_id","rsp_age","rsp_age_cat","rsp_gender","rsp_edu","rsp_party","rsp_eu","treat_id","treat_turnout_raw","treat_majority_raw","treat_outcome_raw","treat_text","treat_outcome","treat_turnout","treat_majority","treat_outcome_match","treat_outcome_shown","treat_turnout_shown","treat_majority_shown","post"
1001287,5,"60 yrs and above","Female",NA,"Conservative Party (CR)","For EU Membership",25,"blank","51%","den vinnende siden","La oss si at den vinnende siden fikk 51% av stemmene.","Not shown","Not shown","51%","Not shown","Shown
outcome","Not shown","Shown
size of majority",1
1007815,6,"60 yrs and above","Male","Lower or intermediate","Agrarian Party (C)","Against EU Membership",76,"blank","51%","ja-siden","La oss si at ja-siden fikk 51% av stemmene.","For EU Membership won","Not shown","51%","Unfavourable outcome","Not shown","Not shown","Shown
size of majority",0
1002395,5,"30-59 yrs","Male","Lower or intermediate",NA,"For EU Membership",83,"blank","55%","ja-siden","La oss si at ja-siden fikk 55% av stemmene.","For EU Membership won","Not shown","55%","Favourable outcome","Not shown","Not shown","Shown
size of majority",1
1001623,5,"30-59 yrs","Female","Higher",NA,"Against EU Membership",69,"35%","blank","ja-siden","La oss si at 35% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","35%","Not shown","Unfavourable outcome","Not shown","Shown
size of turnout","Not shown",0
1007053,5,"30-59 yrs","Male","Lower or intermediate","Labour Party (CL)","Against EU Membership",45,"35%","70%","den vinnende siden","La oss si at 35% av befolkningen deltok og at den vinnende siden fikk 70% av stemmene.","Not shown","35%","70%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1006620,5,"60 yrs and above","Female","Higher","Christian Democracts (C)","Against EU Membership",46,"47%","70%","den vinnende siden","La oss si at 47% av befolkningen deltok og at den vinnende siden fikk 70% av stemmene.","Not shown","47%","70%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1003023,2,"18-29 yrs","Male","Higher","Liberal Party (C)","For EU Membership",12,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1000462,2,"18-29 yrs","Male","Higher","Socialist Left (L)","Against EU Membership",133,"35%","55%","nei-siden","La oss si at 35% av befolkningen deltok og at nei-siden fikk 55% av stemmene.","Against EU Membership won","35%","55%","Favourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",0
1005122,5,"60 yrs and above","Male","Lower or intermediate","Conservative Party (CR)","Against EU Membership",127,"53%","51%","nei-siden","La oss si at 53% av befolkningen deltok og at nei-siden fikk 51% av stemmene.","Against EU Membership won","53%","51%","Favourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1007072,1,"18-29 yrs","Female","Lower or intermediate","Labour Party (CL)","Against EU Membership",26,"blank","51%","den vinnende siden","La oss si at den vinnende siden fikk 51% av stemmene.","Not shown","Not shown","51%","Not shown","Shown
outcome","Not shown","Shown
size of majority",0
1010141,2,"30-59 yrs","Female","Higher","Red Party (FL)","Against EU Membership",40,"85%","55%","den vinnende siden","La oss si at 85% av befolkningen deltok og at den vinnende siden fikk 55% av stemmene.","Not shown","85%","55%","Not shown","Shown
outcome","Shown
size of turnout","Shown
size of majority",1
1009417,2,"30-59 yrs","Male","Higher","Red Party (FL)","Against EU Membership",135,"53%","55%","nei-siden","La oss si at 53% av befolkningen deltok og at nei-siden fikk 55% av stemmene.","Against EU Membership won","53%","55%","Favourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1000771,5,"60 yrs and above","Male","Higher","Green Party (C)","For EU Membership",142,"47%","70%","nei-siden","La oss si at 47% av befolkningen deltok og at nei-siden fikk 70% av stemmene.","Against EU Membership won","47%","70%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
1001959,6,"60 yrs and above","Female","Higher","Conservative Party (CR)","Against EU Membership",66,"blank","blank","ja-siden","La oss si at ja-siden fikk flertall.","For EU Membership won","Not shown","Not shown","Unfavourable outcome","Not shown","Not shown","Not shown",1
1008244,4,"30-59 yrs","Female","Higher","Labour Party (CL)","Against EU Membership",54,"47%","blank","ja-siden","La oss si at 47% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","47%","Not shown","Unfavourable outcome","Not shown","Shown
size of turnout","Not shown",1
1009292,4,"30-59 yrs","Female","Lower or intermediate","Labour Party (CL)","For EU Membership",119,"53%","blank","nei-siden","La oss si at 53% av befolkningen deltok og at nei-siden fikk flertall.","Against EU Membership won","53%","Not shown","Unfavourable outcome","Not shown","Shown
size of turnout","Not shown",1
1007342,6,"60 yrs and above","Male","Higher","Labour Party (CL)","Against EU Membership",53,"35%","blank","ja-siden","La oss si at 35% av befolkningen deltok og at ja-siden fikk flertall.","For EU Membership won","35%","Not shown","Unfavourable outcome","Not shown","Shown
size of turnout","Not shown",0
1002943,3,"30-59 yrs","Female","Higher","Labour Party (CL)","Against EU Membership",140,"blank","70%","nei-siden","La oss si at nei-siden fikk 70% av stemmene.","Against EU Membership won","Not shown","70%","Favourable outcome","Not shown","Not shown","Shown
size of majority",1
1006203,2,"30-59 yrs","Male","Higher","Progress Party (FR)","Against EU Membership",97,"blank","blank","nei-siden","La oss si at nei-siden fikk flertall.","Against EU Membership won","Not shown","Not shown","Favourable outcome","Not shown","Not shown","Not shown",1
1008053,6,"60 yrs and above","Female","Lower or intermediate","Conservative Party (CR)","Against EU Membership",79,"53%","51%","ja-siden","La oss si at 53% av befolkningen deltok og at ja-siden fikk 51% av stemmene.","For EU Membership won","53%","51%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",0
1003353,2,"18-29 yrs","Male","Lower or intermediate","Green Party (C)","Don't know",125,"35%","51%","nei-siden","La oss si at 35% av befolkningen deltok og at nei-siden fikk 51% av stemmene.","Against EU Membership won","35%","51%",NA,"Not shown","Shown
size of turnout","Shown
size of majority",1
1005565,1,"18-29 yrs","Female","Lower or intermediate","Labour Party (CL)","Against EU Membership",11,"blank","blank","den vinnende siden","","Not shown","Not shown","Not shown","Not shown","Shown
outcome","Not shown","Not shown",1
1010132,5,"60 yrs and above","Male","Higher","Socialist Left (L)","For EU Membership",142,"47%","70%","nei-siden","La oss si at 47% av befolkningen deltok og at nei-siden fikk 70% av stemmene.","Against EU Membership won","47%","70%","Unfavourable outcome","Not shown","Shown
size of turnout","Shown
size of majority",1
